File,Accuracy, recall,precision,f_score,auc
_121.,0.9977480448667588,0.3375843454790823,0.6601845257126924,0.44155284207052975,0.8921911661695082
_11.,0.9894846366119824,0.5125,0.7480952380952381,0.5967898767898767,0.9705294705968504
_15.,0.9983950982272999,0.4208333333333333,0.9107142857142858,0.5605594405594405,0.8776883734985468
_153.,0.9985128190469785,0.5633333333333332,0.9166666666666666,0.6865440115440116,0.9676312888633278
