Medium_Key,Report_Medium
416,EMAIL
417,OTHER
418,OTHER
419,AFFILIATE
420,OTHER
421,OTHER
422,AFFILIATE
423,PPC
424,OTHER
425,OTHER
426,OTHER
427,OTHER
428,OTHER
429,OTHER
430,OTHER
431,OTHER
432,SOCIAL
433,OTHER
434,ORGANIC
435,PPC
436,OTHER
437,OTHER
438,AFFILIATE
439,OTHER
440,OTHER
441,SOCIAL
442,OTHER
443,OTHER
444,OTHER
445,SOCIAL
446,OTHER
447,OTHER
448,EMAIL
449,SOCIAL
450,AFFILIATE
451,OTHER
452,OTHER
453,SOCIAL
454,OTHER
455,OTHER
456,OTHER
457,OTHER
458,OTHER
459,EMAIL
460,OTHER
461,OTHER
462,AFFILIATE
463,OTHER
464,AFFILIATE
465,OTHER
466,OTHER
467,PPC
468,OTHER
469,SOCIAL
470,OTHER
471,OTHER
472,OTHER
473,OTHER
474,OTHER
475,OTHER
476,OTHER
477,OTHER
478,OTHER
479,OTHER
480,OTHER
481,OTHER
482,PPC
483,AFFILIATE
484,AFFILIATE
485,AFFILIATE
486,AFFILIATE
487,EMAIL
488,OTHER
489,OTHER
490,OTHER
491,OTHER
492,OTHER
493,OTHER
494,OTHER
495,OTHER
496,OTHER
497,AFFILIATE
498,OTHER
499,OTHER
500,SOCIAL
501,OTHER
502,OTHER
503,OTHER
504,OTHER
505,OTHER
506,OTHER
507,OTHER
509,DIRECT
510,PPC
511,OTHER
512,OTHER
513,OTHER
514,OTHER
515,OTHER
516,EMAIL
517,OTHER
518,OTHER
519,DIRECT
520,OTHER
521,AFFILIATE
522,OTHER
523,OTHER
524,OTHER
525,OTHER
526,OTHER
527,OTHER
528,OTHER
529,OTHER
530,AFFILIATE
531,OTHER
532,OTHER
533,EMAIL
534,AFFILIATE
535,AFFILIATE
536,OTHER
537,OTHER
538,OTHER
539,OTHER
540,OTHER
541,EMAIL
542,AFFILIATE
543,REFERRAL
544,AFFILIATE
545,SOCIAL
546,AFFILIATE
547,REFERRAL
548,EMAIL
549,OTHER
550,OTHER
551,ORGANIC
552,OTHER
553,EMAIL
554,OTHER
555,AFFILIATE
556,OTHER
557,OTHER
558,OTHER
559,OTHER
560,OTHER
561,OTHER
562,OTHER
563,OTHER
564,OTHER
565,OTHER
566,OTHER
567,OTHER
568,PPC
569,PPC
570,SOCIAL
571,PPC
572,OTHER
573,OTHER
574,OTHER
575,OTHER
576,OTHER
577,ORGANIC
578,ORGANIC
579,AFFILIATE
580,OTHER
581,OTHER
582,SOCIAL
583,OTHER
584,OTHER
585,AFFILIATE
586,SOCIAL
587,OTHER
588,AFFILIATE
589,OTHER
590,OTHER
591,OTHER
592,AFFILIATE
593,OTHER
594,OTHER
595,OTHER
596,EMAIL
597,OTHER
598,AFFILIATE
599,AFFILIATE
600,AFFILIATE
601,OTHER
602,OTHER
603,OTHER
604,OTHER
605,AFFILIATE
606,EMAIL
607,OTHER
608,OTHER
609,AFFILIATE
610,OTHER
611,OTHER
612,OTHER
613,OTHER
614,OTHER
615,OTHER
616,AFFILIATE
617,OTHER
618,OTHER
619,OTHER
620,OTHER
621,OTHER
622,OTHER
623,AFFILIATE
624,PPC
625,OTHER
626,OTHER
627,OTHER
628,OTHER
629,EMAIL
630,SOCIAL
631,OTHER
632,OTHER
633,EMAIL
634,OTHER
635,OTHER
636,OTHER
637,OTHER
638,OTHER
639,OTHER
640,OTHER
641,OTHER
642,OTHER
643,SOCIAL
644,REFERRAL
645,REFERRAL
646,AFFILIATE
647,OTHER
648,OTHER
649,PPC
650,OTHER
651,OTHER
652,OTHER
653,OTHER
654,OTHER
655,OTHER
656,AFFILIATE
657,OTHER
658,AFFILIATE
659,EMAIL
660,OTHER
661,AFFILIATE
662,OTHER
663,OTHER
664,OTHER
665,EMAIL
666,REFERRAL
667,OTHER
668,OTHER
669,SOCIAL
670,OTHER
671,OTHER
672,OTHER
673,OTHER
674,AFFILIATE
675,OTHER
676,ORGANIC
677,ORGANIC
678,OTHER
679,OTHER
680,SOCIAL
681,OTHER
682,SOCIAL
683,OTHER
684,OTHER
685,OTHER
686,OTHER
687,OTHER
688,OTHER
689,OTHER
690,OTHER
691,OTHER
692,OTHER
693,AFFILIATE
694,OTHER
695,OTHER
696,OTHER
697,EMAIL
698,OTHER
699,AFFILIATE
700,OTHER
701,OTHER
702,OTHER
703,OTHER
704,OTHER
705,OTHER
706,OTHER
707,OTHER
708,OTHER
709,OTHER
710,AFFILIATE
711,OTHER
712,OTHER
713,OTHER
714,AFFILIATE
715,PPC
716,OTHER
717,OTHER
718,OTHER
719,AFFILIATE
720,AFFILIATE
721,OTHER
722,OTHER
723,OTHER
724,OTHER
725,EMAIL
726,OTHER
727,OTHER
728,AFFILIATE
729,OTHER
730,OTHER
731,EMAIL
732,OTHER
733,AFFILIATE
734,ORGANIC
735,AFFILIATE
736,OTHER
737,SOCIAL
738,OTHER
739,OTHER
740,OTHER
741,OTHER
742,OTHER
743,AFFILIATE
744,AFFILIATE
745,PPC
746,EMAIL
747,OTHER
748,OTHER
749,OTHER
750,OTHER
751,AFFILIATE
752,OTHER
753,ORGANIC
754,OTHER
755,OTHER
756,OTHER
757,OTHER
758,EMAIL
759,EMAIL
760,DIRECT
761,SOCIAL
762,AFFILIATE
763,Other
764,SOCIAL
765,AFFILIATE
766,AFFILIATE
767,AFFILIATE
768,AFFILIATE
769,AFFILIATE
770,AFFILIATE
771,AFFILIATE
772,Other
773,Other
774,Other
775,EMAIL
776,Other
777,Other
778,Other
779,Other
780,Other
781,Other
782,Other
783,Other
784,Other
785,Other
786,Other
787,Other
788,EMAIL
789,Other
790,Other
791,Other
792,Other
793,Other
794,Other
795,Other
796,Other
797,PPC
798,PPC
799,Other
800,Other
801,Other
802,Other
803,Other
804,Other
805,Other
806,Other
807,Other
808,Other
809,Other
810,EMAIL
811,EMAIL
812,EMAIL
813,EMAIL
814,EMAIL
815,EMAIL
816,EMAIL
817,SOCIAL
818,SOCIAL
819,SOCIAL
820,Other
821,Other
822,Other
823,Other
824,Other
825,Other
826,Other
827,Other
828,Other
829,Other
830,Other
831,Other
832,Other
833,Other
834,Other
835,Other
836,Other
837,Other
838,Other
839,Other
840,Other
841,Other
842,Other
843,Other
844,Other
845,Other
846,Other
847,Other
848,Other
849,Other
850,Other
851,Other
852,SOCIAL
853,Other
854,Other
855,Other
856,Other
857,Other
858,Other
859,Other
860,SOCIAL
861,Other
862,Other
863,Other
864,Other
865,Other
866,Other
867,Other
868,EMAIL
869,Other
870,Other
871,Other
872,AFFILIATE
873,Other
874,AFFILIATE
875,Other
876,Other
877,Other
878,Other
879,Other
880,AFFILIATE
881,AFFILIATE
882,EMAIL
883,Other
884,SOCIAL
885,AFFILIATE
886,Other
887,Other
888,Other
889,Other
890,Other
