Order.No.,Date.Logged,Released_by,Internal.RC,Defence.Status,GBP.Amount
67879434,07/01/2016,Gatekeeper,Fraud,None,£294.60
67138279,15/03/2016,Bypass,Fraud,Lost,£124.94
67100223,16/03/2016,Gatekeeper,Ethoca - refunded,Outstanding,£125.89
67236325,16/03/2016,Gatekeeper,Fraud,None,£129.94
67237354,16/03/2016,Gatekeeper,1st party fraud,Outstanding,£129.94
67337452,16/03/2016,Investigator,Fraud,Outstanding,£96.93
67260085,18/03/2016,Investigator,LIP - Untracked,Outstanding,£111.73
67161202,18/03/2016,Gatekeeper,Fraud,Won,£48.94
67524068,18/03/2016,Gatekeeper,Fraud,Lost,£106.92
67738478,18/03/2016,Gatekeeper,Fraud,Lost,£84.93
67542049,22/03/2016,Gatekeeper,Ethoca - refunded,Won,£159.16
67137762,22/03/2016,Gatekeeper,Fraud,Lost,£124.94
67154157,23/03/2016,Gatekeeper,Fraud,Lost,£134.94
67418720,24/03/2016,Investigator,Fraud,None,£44.00
67543464,29/03/2016,Investigator,Fraud,None,£58.60
67529625,30/03/2016,Investigator,Fraud,Outstanding,£51.15
67616667,30/03/2016,Investigator,Fraud,Outstanding,£47.95
67290868,30/03/2016,Investigator,Customer error,Won,£28.34
68064701,01/04/2016,Gatekeeper,Fraud,None,£98.93
68106039,01/04/2016,Gatekeeper,Fraud,None,£84.93
67103754,05/04/2016,Gatekeeper,Fraud,None,£41.94
67750557,06/04/2016,Gatekeeper,Fraud - Refunded,Won,£81.99
67465511,06/04/2016,Gatekeeper,Fraud,None,£294.60
67746508,06/04/2016,Gatekeeper,Fraud,None,£50.70
67525263,07/04/2016,Gatekeeper,Fraud,None,£98.93
67193710,08/04/2016,Bypass,Order returned/ cancelled – not refunded,None,£10.00
67436361,08/04/2016,Gatekeeper,LIP - Untracked,Lost,£144.02
67295644,08/04/2016,Bypass,Order issue - not refunded or replaced,None,£19.99
67139979,08/04/2016,Bypass,Fraud,None,£111.93
67337128,11/04/2016,Gatekeeper,Fraud,None,£104.92
67919595,11/04/2016,Investigator,Customer error,Lost,£47.10
68628281,11/04/2016,Gatekeeper,Fraud,None,£16.79
68366609,11/04/2016,Investigator,Fraud,None,£150.51
68090357,12/04/2016,Gatekeeper,Fraud,None,£19.55
68035854,12/04/2016,Gatekeeper,Fraud,None,£19.55
67755441,12/04/2016,Gatekeeper,Fraud,None,£130.00
67139086,12/04/2016,Gatekeeper,Fraud,None,£114.91
67242852,12/04/2016,Gatekeeper,Fraud,None,£79.95
67527127,12/04/2016,Investigator,Fraud,None,£21.98
67495965,12/04/2016,Investigator,Fraud,None,£5.98
68307883,12/04/2016,Gatekeeper,Fraud,None,£84.93
68511490,12/04/2016,Gatekeeper,Fraud,None,£98.93
67738231,13/04/2016,Bypass,1st party fraud,Outstanding,£77.89
68770316,13/04/2016,Investigator,Fraud,None,£83.30
68177088,14/04/2016,Gatekeeper,1st party fraud,Won,£22.98
67138099,15/04/2016,Gatekeeper,Fraud,None,£124.94
67191363,15/04/2016,Gatekeeper,Fraud,Lost,£129.94
68023343,15/04/2016,Investigator,1st Party Fraud,None,£94.54
68537477,15/04/2016,Investigator,Fraud - Refunded,Won,£5.98
68571926,15/04/2016,Gatekeeper,Fraud,None,£51.94
67723714,15/04/2016,Investigator,Fraud,None,£156.22
67193341,16/04/2016,Gatekeeper,Fraud,None,£129.94
67647952,18/04/2016,Investigator,Customer Error,None,£38.46
68106716,18/04/2016,Gatekeeper,Fraud,Lost,£84.93
68450199,18/04/2016,Gatekeeper,1st party fraud,Lost,£98.93
68470453,18/04/2016,Investigator,Customer error,None,£51.59
68839621,18/04/2016,Gatekeeper,Fraud,None,£74.93
67279157,19/04/2016,Gatekeeper,Customer error,Won,£58.40
67136792,19/04/2016,Gatekeeper,1st party fraud,Lost,£124.94
68308133,19/04/2016,Gatekeeper,1st party fraud,Lost,£84.93
68846172,19/04/2016,Investigator,Fraud,None,£324.94
68839339,19/04/2016,Gatekeeper,Fraud,None,£74.93
67370121,19/04/2016,Investigator,Fraud - Refunded,None,£307.57
67114732,20/04/2016,Gatekeeper,Order returned/ cancelled – not refunded,None,£101.94
67234854,20/04/2016,Bypass,Subscription,Lost,£7.99
67781995,20/04/2016,Bypass,Subscription,None,£19.99
67140888,20/04/2016,Gatekeeper,Fraud,None,£74.92
67237071,20/04/2016,Gatekeeper,Fraud,None,£129.94
68884274,20/04/2016,Gatekeeper,Fraud,None,£74.93
68884029,20/04/2016,Gatekeeper,Fraud,None,£74.93
68478750,20/04/2016,Investigator,Fraud,None,£28.65
67124181,21/04/2016,Bypass,Subscription,Lost,£19.99
67652999,22/04/2016,Bypass,LIP - Untracked,None,£9.89
67885361,22/04/2016,Gatekeeper,Fraud,None,£84.93
68802388,22/04/2016,Gatekeeper,1st party fraud,Outstanding,£74.93
68154454,23/04/2016,Investigator,Fraud - Refunded,Lost,£84.93
67239336,24/04/2016,Bypass,1st party fraud,Won,£16.99
67232147,25/04/2016,Investigator,Fraud,None,£33.94
67238092,25/04/2016,Investigator,Fraud,None,£129.92
68058717,25/04/2016,Gatekeeper,Fraud,None,£84.93
68111109,25/04/2016,Investigator,Fraud,None,£84.93
68138318,25/04/2016,Investigator,Fraud,None,£49.94
69080527,25/04/2016,Gatekeeper,Fraud,None,£84.93
68120464,26/04/2016,Investigator,Fraud - Refunded,Outstanding,£84.93
67236216,27/04/2016,Bypass,Fraud,None,£129.94
67337604,27/04/2016,Investigator,Fraud,None,£96.93
68137742,27/04/2016,Gatekeeper,Fraud,None,£89.94
69030700,27/04/2016,Investigator,Fraud,None,£84.93
69129469,27/04/2016,Gatekeeper,Fraud,None,£44.94
67655516,28/04/2016,Bypass,Fraud,None,£18.99
69080179,28/04/2016,Gatekeeper,Fraud,Lost,£175.10
67601826,28/04/2016,Gatekeeper,Fraud,None,£10.98
68583792,29/04/2016,Investigator,Fraud,None,£70.99
67762499,29/04/2016,Investigator,Fraud,None,£124.92
68958563,29/04/2016,Bypass,Order returned/ cancelled – not refunded,None,£10.54
69160377,03/05/2016,Gatekeeper,1st party fraud,Won,£113.94
69161153,04/05/2016,Gatekeeper,1st party fraud,Won,£19.99
68063312,04/05/2016,Gatekeeper,Fraud,Lost,£98.93
68106475,04/05/2016,Gatekeeper,Fraud,Lost,£84.93
67335455,05/05/2016,Gatekeeper,1st party fraud,Won,£129.94
67732001,05/05/2016,Gatekeeper,1st party fraud,Lost,£84.93
67818033,05/05/2016,Investigator,1st party fraud,Lost,£124.92
68855023,05/05/2016,Investigator,Fraud,None,£70.98
69746608,06/05/2016,Gatekeeper,Fraud,None,£82.00
69564430,06/05/2016,Bypass,Fraud,None,£20.50
67648192,06/05/2016,Investigator,Fraud,None,£31.98
67841724,06/05/2016,Investigator,Fraud,None,£46.97
67737030,06/05/2016,Gatekeeper,Fraud,Lost,£84.93
68307243,06/05/2016,Gatekeeper,Fraud,Lost,£84.93
68309475,06/05/2016,Gatekeeper,Fraud,Lost,£77.92
69079586,06/05/2016,Gatekeeper,Fraud,None,£84.93
69273297,06/05/2016,Investigator,Fraud - Refunded,Won,£294.94
67735008,07/05/2016,Gatekeeper,Fraud,Outstanding,£84.93
68569359,07/05/2016,Gatekeeper,Fraud,Outstanding,£94.93
67561080,09/05/2016,Gatekeeper,Fraud,None,£144.95
67626078,09/05/2016,Bypass,Fraud,None,£24.99
69411840,09/05/2016,Gatekeeper,Fraud - Refunded,Won,£85.73
67715825,09/05/2016,Investigator,Fraud,None,£304.94
69079438,09/05/2016,Gatekeeper,Fraud,None,£84.93
69131552,09/05/2016,Gatekeeper,Fraud,None,£144.94
69131854,09/05/2016,Gatekeeper,Fraud,None,£104.94
68065476,10/05/2016,Gatekeeper,Fraud,None,£77.90
68427828,11/05/2016,Gatekeeper,Fraud,None,£31.99
68515705,11/05/2016,Gatekeeper,Fraud,None,£127.50
67621766,11/05/2016,Gatekeeper,LIP - Untracked,Won,£36.68
67737408,11/05/2016,Gatekeeper,Fraud,None,£67.92
68210997,11/05/2016,Investigator,Fraud - Refunded,Won,£25.97
68605652,11/05/2016,Gatekeeper,Fraud,None,£50.00
68790844,11/05/2016,Investigator,1st party fraud,None,£118.92
69335486,11/05/2016,Gatekeeper,Fraud,None,£35.98
68842700,12/05/2016,Gatekeeper,Fraud,None,£176.99
68004540,12/05/2016,Bypass,Customer error,None,£31.59
67502633,13/05/2016,Gatekeeper,1st party fraud,Won,£43.94
68524365,13/05/2016,Investigator,Fraud,None,£78.98
67485369,13/05/2016,Investigator,Fraud,None,£32.94
68060829,13/05/2016,Gatekeeper,Fraud,None,£84.93
68160129,13/05/2016,Investigator,Fraud,None,£84.93
67148209,16/05/2016,Bypass,Fraud,None,£38.61
69556685,16/05/2016,Gatekeeper,Fraud,None,£70.99
70191228,16/05/2016,Bypass,1st party fraud,None,£13.41
70192792,16/05/2016,Bypass,1st party fraud,None,£10.29
67139651,16/05/2016,Gatekeeper,Fraud,None,£154.94
67381821,16/05/2016,Investigator,Fraud,None,£15.98
67440713,16/05/2016,Investigator,LIP - Untracked,None,£40.98
67541153,16/05/2016,Investigator,Fraud,None,£8.98
67495700,16/05/2016,Investigator,Fraud,None,£32.98
67337528,16/05/2016,Investigator,Card re-hit,Lost,£94.93
68308016,16/05/2016,Gatekeeper,Fraud,None,£84.93
68450530,16/05/2016,Gatekeeper,Fraud,None,£98.93
68516647,16/05/2016,Gatekeeper,Fraud,None,£64.94
67205137,17/05/2016,Bypass,Fraud,None,£20.82
67672836,17/05/2016,Bypass,Fraud,None,£19.15
69166907,17/05/2016,Bypass,Subscription cancelled,Lost,£19.99
69626634,17/05/2016,Investigator,Fraud,Lost,£395.94
68053960,17/05/2016,Investigator,Fraud,None,£46.95
67314892,17/05/2016,Investigator,Fraud,None,£47.96
67207822,17/05/2016,Investigator,Fraud,None,£19.98
67336500,17/05/2016,Gatekeeper,1st party fraud,Lost,£56.99
67569978,17/05/2016,Gatekeeper,Fraud,Lost,£98.93
67672354,17/05/2016,Gatekeeper,1st party fraud,Lost,£98.93
67700295,17/05/2016,Gatekeeper,1st party fraud,Outstanding,£52.98
68157612,17/05/2016,Gatekeeper,Fraud,None,£84.93
68438765,17/05/2016,Gatekeeper,Fraud,None,£94.93
68498058,17/05/2016,Gatekeeper,Fraud,None,£94.93
68562530,17/05/2016,Gatekeeper,Fraud,None,£94.93
68622302,17/05/2016,Investigator,Fraud,None,£165.91
68718471,17/05/2016,Gatekeeper,Fraud,None,£58.47
68828000,17/05/2016,Gatekeeper,Fraud,None,£124.92
68840536,17/05/2016,Gatekeeper,Fraud,None,£74.93
68890476,17/05/2016,Gatekeeper,Fraud,None,£74.93
68890844,17/05/2016,Gatekeeper,Fraud,None,£74.93
68928891,17/05/2016,Gatekeeper,Fraud,None,£172.91
69129579,17/05/2016,Gatekeeper,Fraud,None,£84.93
69254136,17/05/2016,Investigator,Customer error,Outstanding,£10.98
69416106,17/05/2016,Gatekeeper,Fraud,None,£94.93
67700845,18/05/2016,Bypass,LIP - Untracked,None,£38.99
69466039,18/05/2016,Gatekeeper,Fraud,None,£133.00
69767371,18/05/2016,Investigator,Fraud,Lost,£271.00
69559547,18/05/2016,Gatekeeper,Fraud,None,£152.00
68843302,18/05/2016,Gatekeeper,LIP - Untracked,None,£125.00
67967509,18/05/2016,Bypass,Subscription,Lost,£19.99
67848954,18/05/2016,Bypass,Subscription,None,£19.99
69577539,18/05/2016,Investigator,Fraud - Refunded,Won,£394.94
67732435,18/05/2016,Gatekeeper,Fraud,None,£84.93
67759806,18/05/2016,Gatekeeper,Fraud,None,£164.91
67864428,18/05/2016,Gatekeeper,Fraud,None,£124.92
68107927,18/05/2016,Gatekeeper,Fraud - Refunded,Outstanding,£84.93
68308887,18/05/2016,Gatekeeper,Fraud,None,£84.93
68647494,18/05/2016,Gatekeeper,Fraud,None,£10.98
68651515,18/05/2016,Gatekeeper,Subscription cancelled,None,£19.99
68875529,18/05/2016,Investigator,Fraud,Lost,£183.89
69080996,18/05/2016,Gatekeeper,Fraud,None,£84.93
69251408,18/05/2016,Investigator,Fraud,None,£100.97
69419495,18/05/2016,Gatekeeper,Fraud,None,£94.93
69416381,18/05/2016,Gatekeeper,Fraud,None,£94.93
69097404,19/05/2016,Gatekeeper,Fraud,None,£18.99
69014082,19/05/2016,Bypass,Subscription cancelled,Outstanding,£19.99
67640476,19/05/2016,Bypass,Subscription cancelled,None,£19.99
67135301,19/05/2016,Gatekeeper,Fraud,None,£129.94
67189352,19/05/2016,Gatekeeper,Fraud,None,£129.94
68222206,19/05/2016,Gatekeeper,Subscription cancelled,None,£9.99
67745906,19/05/2016,Investigator,Fraud,None,£20.98
68306879,19/05/2016,Gatekeeper,Fraud,None,£84.93
68387390,19/05/2016,Gatekeeper,Fraud,None,£10.99
68446545,19/05/2016,Gatekeeper,Fraud,None,£15.98
68453825,19/05/2016,Gatekeeper,Fraud,None,£59.94
68507165,19/05/2016,Gatekeeper,Fraud,None,£94.93
68566490,19/05/2016,Gatekeeper,Fraud,None,£139.92
68560327,19/05/2016,Investigator,1st party fraud,None,£164.41
68571339,19/05/2016,Gatekeeper,Fraud,None,£98.93
68844178,19/05/2016,Gatekeeper,Fraud,None,£49.92
68952571,20/05/2016,Bypass,Fraud,None,£28.00
69134292,20/05/2016,Bypass,Fraud,None,£36.00
69415804,20/05/2016,Gatekeeper,Fraud,None,£148.50
69652199,20/05/2016,Bypass,Fraud,None,£35.26
67990811,20/05/2016,Gatekeeper,Subscription cancelled,None,£103.94
69059114,20/05/2016,Bypass,Subscription cancelled,None,£19.99
68058040,20/05/2016,Gatekeeper,Fraud,Outstanding,£84.93
68106716,20/05/2016,Gatekeeper,Fraud,Outstanding,£84.93
68497518,20/05/2016,Investigator,Fraud,None,£94.93
67713199,20/05/2016,Investigator,Fraud,None,£144.41
68506359,20/05/2016,Investigator,Fraud - Refunded,None,£168.67
68506359,20/05/2016,Investigator,Fraud - Refunded,Won,£278.52
68860618,20/05/2016,Gatekeeper,Fraud,None,£38.47
67660704,22/05/2016,Bypass,Fraud,None,£34.78
67660733,22/05/2016,Bypass,Fraud,None,£31.77
67660722,22/05/2016,Bypass,Fraud,None,£31.77
69794302,22/05/2016,Investigator,Fraud,None,£214.00
69917076,22/05/2016,Bypass,Fraud,None,£15.99
68320142,22/05/2016,Gatekeeper,1st party fraud,Lost,£212.00
69627679,22/05/2016,Investigator,Fraud,Lost,£299.94
69800540,22/05/2016,Investigator,Fraud,Lost,£299.94
69745994,22/05/2016,Investigator,Fraud,Lost,£299.94
67571993,22/05/2016,Investigator,Fraud,None,£74.77
67320342,23/05/2016,Bypass,Fraud,None,£19.99
68599672,23/05/2016,Gatekeeper,Subscription,None,£19.99
67530668,23/05/2016,Gatekeeper,Order issue - refunded or replaced,Outstanding,£41.96
69064852,23/05/2016,Gatekeeper,Fraud,None,£84.93
69238221,23/05/2016,Gatekeeper,Fraud,None,£84.93
69286710,23/05/2016,Investigator,Fraud,None,£184.91
67158152,24/05/2016,Gatekeeper,Fraud,None,£48.99
67184796,24/05/2016,Gatekeeper,Fraud,None,£46.99
67206437,24/05/2016,Gatekeeper,Fraud,None,£46.99
67282495,24/05/2016,Gatekeeper,Fraud,None,£124.99
67495905,24/05/2016,Gatekeeper,Fraud,None,£40.99
67542742,24/05/2016,Gatekeeper,Fraud,None,£127.00
67543043,24/05/2016,Gatekeeper,Fraud,None,£46.99
67654193,24/05/2016,Gatekeeper,Fraud,None,£48.99
67646724,24/05/2016,Gatekeeper,Fraud,None,£65.99
67626456,24/05/2016,Gatekeeper,Fraud,None,£65.99
68958729,24/05/2016,Gatekeeper,Fraud,None,£63.99
67192203,24/05/2016,Bypass,Fraud,None,£34.00
67391018,24/05/2016,Gatekeeper,Fraud,None,£132.88
69018433,24/05/2016,Bypass,Fraud,None,£32.99
70577732,24/05/2016,Gatekeeper,Fraud,None,£89.95
69771027,24/05/2016,Gatekeeper,Fraud - Refunded,None,£18.97
68846055,24/05/2016,Investigator,Fraud,None,£404.92
69060401,24/05/2016,Investigator,Fraud,None,£81.91
68909775,24/05/2016,Investigator,Fraud,None,£105.91
68966935,24/05/2016,Investigator,Fraud,Lost,£354.94
69118755,24/05/2016,Gatekeeper,Fraud,None,£124.92
69251802,24/05/2016,Gatekeeper,Fraud,None,£45.97
69334929,24/05/2016,Gatekeeper,1st party fraud,Lost,£129.94
70186431,24/05/2016,Investigator,Fraud,None,£36.94
70227007,24/05/2016,Investigator,Fraud,None,£39.94
69680051,25/05/2016,Investigator,Fraud - Refunded,Won,£221.63
67336124,25/05/2016,Gatekeeper,Fraud,None,£31.98
67917292,25/05/2016,Investigator,Fraud,None,£15.98
67736271,25/05/2016,Gatekeeper,1st party fraud,None,£84.93
68447669,25/05/2016,Gatekeeper,Fraud - Refunded,Won,£94.93
68627015,25/05/2016,Investigator,Fraud,None,£25.00
68846033,25/05/2016,Gatekeeper,Fraud,None,£37.98
67655050,26/05/2016,Bypass,Fraud,None,£22.94
67939125,26/05/2016,Gatekeeper,LIP - Untracked,None,£83.18
69098326,26/05/2016,Bypass,Fraud,None,£32.99
68954002,26/05/2016,Gatekeeper,Customer error,Won,£14.98
67735862,26/05/2016,Gatekeeper,Subscription cancelled,None,£19.99
67894891,26/05/2016,Investigator,Fraud,None,£19.99
67817933,26/05/2016,Gatekeeper,Fraud,None,£164.91
68307133,26/05/2016,Investigator,Fraud,None,£84.93
68534193,26/05/2016,Gatekeeper,Fraud,None,£19.99
68662344,26/05/2016,Gatekeeper,Subscription cancelled,Won,£19.99
68839007,26/05/2016,Gatekeeper,Fraud,None,£74.93
69318286,26/05/2016,Investigator,Fraud,None,£184.91
69765725,26/05/2016,Gatekeeper,Fraud,None,£80.93
70496319,26/05/2016,Gatekeeper,Fraud,Outstanding,£84.93
69203723,26/05/2016,Investigator,Fraud,None,£29.20
69309360,26/05/2016,Investigator,Fraud,None,£32.21
69831566,26/05/2016,Investigator,Fraud,None,£72.08
69485953,26/05/2016,Investigator,Fraud,None,£58.41
70084016,26/05/2016,Investigator,Fraud,None,£41.57
70135549,26/05/2016,Investigator,Fraud,None,£69.65
69371548,26/05/2016,Investigator,Fraud,None,£58.42
69994295,26/05/2016,Investigator,Fraud,None,£72.07
69154755,26/05/2016,Investigator,Fraud,None,£15.93
69970211,26/05/2016,Investigator,Fraud,None,£58.41
69535826,26/05/2016,Investigator,Fraud,None,£15.74
70218911,26/05/2016,Investigator,Fraud,None,£68.49
67568366,27/05/2016,Gatekeeper,Fraud,None,£286.56
69274844,27/05/2016,Bypass,Fraud,None,£32.99
67995837,27/05/2016,Gatekeeper,Order issue - not refunded or replaced,Won,£70.67
70601935,27/05/2016,Bypass,Subscription,Outstanding,£19.99
68453263,27/05/2016,Gatekeeper,1st party fraud,Outstanding,£74.93
68891561,27/05/2016,Gatekeeper,Order returned/ cancelled – not refunded,None,£9.99
67601267,31/05/2016,Gatekeeper,Fraud,None,£16.98
68799837,31/05/2016,Gatekeeper,Fraud,None,£74.93
70427977,31/05/2016,Gatekeeper,Fraud,None,£38.94
67626224,01/06/2016,Bypass,1st party fraud,None,£24.99
70629296,01/06/2016,Gatekeeper,Fraud,None,£59.99
70131735,01/06/2016,Bypass,Fraud,None,£24.00
67525913,01/06/2016,Gatekeeper,Fraud,Lost,£98.93
67897497,01/06/2016,Gatekeeper,Subscription,None,£9.99
68569983,01/06/2016,Gatekeeper,Fraud,None,£94.93
68748800,01/06/2016,Gatekeeper,Fraud,None,£78.93
69999171,01/06/2016,Bypass,Subscription,Lost,£19.99
69999171,01/06/2016,Bypass,Subscription,Lost,£19.99
69999171,01/06/2016,Bypass,Subscription,Lost,£19.99
67934330,01/06/2016,Investigator,Fraud,None,£119.75
70665481,01/06/2016,Investigator,Fraud,None,£38.20
67957232,02/06/2016,Gatekeeper,Subscription cancelled,None,£19.99
68088158,02/06/2016,Investigator,Fraud,None,£140.98
