0,Category_Level_2Games
1,Payment_Method_Key
2,Product_Charge_Price
3,Category_Level_2DVD.and.Blu.Ray
4,prop
5,Medium_Key
6,ship_status
7,Locale_Key
8,Payment_Provider_Key
9,Cancelled_Qty
10,count
11,num_valid
12,Delivery_Option_Type_Key
13,Order_Sequence_No
14,destination_int
15,Category_Level_2Merchandise
16,canc_prop
17,Ordered_Qty
18,pay_key_num
19,Category_Level_2Tech
20,Category_Level_2Clothing
21,Order_Payment_Status_Key
22,Category_Level_2Toys
23,customer_status
24,Category_Level_2Gifts
25,Category_Level_2Footwear
