0,Product_Charge_Price
1,Payment_Method_Key
2,count
3,num_valid
4,Medium_Key
5,prop
6,Order_Sequence_No
7,customer_status
8,Category_Level_2Games
9,canc_prop
10,Locale_Key
11,Cancelled_Qty
12,ship_status
13,pay_key_num
14,Ordered_Qty
15,Payment_Provider_Key
16,destination_int
17,Order_Payment_Status_Key
18,Delivery_Option_Type_Key
19,Category_Level_2DVD.and.Blu.Ray
20,Category_Level_2Toys
21,Category_Level_2Merchandise
22,Category_Level_2Tech
23,Category_Level_2Footwear
24,Category_Level_2Gifts
25,Category_Level_2Clothing
26,Category_Level_2Homeware
