0,Payment_Method_Key
1,Product_Charge_Price
2,Category_Level_2Clothing
3,canc_prop
4,prop
5,customer_status
6,Cancelled_Qty
7,count
8,Category_Level_2DVD.and.Blu.Ray
9,Order_Sequence_No
10,Order_Payment_Status_Key
11,Medium_Key
12,ship_status
13,Category_Level_2Footwear
14,pay_key_num
15,Category_Level_2Tech
16,destination_int
17,num_valid
18,Delivery_Option_Type_Key
19,Category_Level_2Games
20,Category_Level_2Merchandise
21,Payment_Provider_Key
22,Ordered_Qty
23,Category_Level_2Toys
24,occupation_int
