,Category_Level_2Accessories,Category_Level_2Bags,Category_Level_2Beauty.Boxes,Category_Level_2Body.Care,Category_Level_2Books,Category_Level_2Clothing,Category_Level_2DVD.and.Blu.Ray,Category_Level_2Footwear,Category_Level_2Fragrance,Category_Level_2Games,Category_Level_2Garden,Category_Level_2Gifting,Category_Level_2Gifts,Category_Level_2Hair.Care,Category_Level_2Health.and.Beauty.Electricals,Category_Level_2Health.and.Beauty.Gift.Sets,Category_Level_2Homeware,Category_Level_2Make.Up,Category_Level_2Merchandise,Category_Level_2Music,Category_Level_2Nail.Care,Category_Level_2NULL,Category_Level_2Shaving,Category_Level_2Skin.Care,Category_Level_2Sports,Category_Level_2Sports.Nutrition,Category_Level_2Tech,Category_Level_2Toys,Delivery_Option_Type_Key,Payment_Method_Key,Locale_Key,Order_Sequence_No,Medium_Key,Order_Payment_Status_Key,Payment_Provider_Key,Product_Charge_Price,Ordered_Qty,Cancelled_Qty,pay_key_num,num_valid,count,prop,status,canc_prop,ship_status,destination_int,priority_int,occupation_int,Site_Key
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,5,1,1,7,1,5.2684,1,1,7,0,22,0.0,4,1.0,1,2,1,1,120
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,5,1,1,7,1,8.4217,1,1,7,0,22,0.0,4,1.0,1,2,1,1,120
2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,5,1,1,7,1,7.3758,1,1,7,0,22,0.0,4,1.0,1,2,1,1,120
3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,5,1,1,7,1,5.2684,1,1,7,0,22,0.0,4,1.0,1,2,1,1,120
4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,5,1,1,7,1,8.4217,1,1,7,0,22,0.0,4,1.0,1,2,1,1,120
5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,5,1,1,7,1,16.8511,1,1,7,0,22,0.0,4,1.0,1,2,1,1,120
6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,5,2,1,7,1,22.1273,1,1,7,0,22,0.0,4,1.0,1,2,1,1,120
7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,5,2,1,7,1,15.8052,1,1,7,0,22,0.0,4,1.0,1,2,1,1,120
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,-1,5,2,1,7,1,10.2714,1,1,7,0,22,0.0,4,1.0,1,2,1,1,120
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,-1,5,2,1,7,1,10.2714,1,1,7,0,22,0.0,4,1.0,1,2,1,1,120
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,-1,5,2,1,7,1,10.2714,1,1,7,0,22,0.0,4,1.0,1,2,1,1,120
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,-1,5,2,1,7,1,10.2714,1,1,7,0,22,0.0,4,1.0,1,2,1,1,120
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,-1,5,2,1,7,1,10.2714,1,1,7,0,22,0.0,4,1.0,1,2,1,1,120
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,-1,5,2,1,7,1,11.8637,1,1,7,0,22,0.0,4,1.0,1,2,1,1,120
14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,12,118,0,2,45.761,1,0,0,3,3,1.0,2,0.0,1,2,1,1,120
15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,12,118,0,2,15.9613,1,0,0,3,3,1.0,2,0.0,1,2,1,1,120
16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,12,118,0,2,0.0,1,0,0,3,3,1.0,2,0.0,1,2,1,1,120
17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,5,3,1,7,1,26.3421,1,1,7,0,22,0.0,4,1.0,1,2,1,1,120
18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,5,3,1,7,1,23.22,1,1,7,0,22,0.0,4,1.0,1,2,1,1,120
19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,5,3,1,7,1,12.6364,1,1,7,0,22,0.0,4,1.0,1,2,1,1,120
20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,5,3,1,7,1,13.6979,1,1,7,0,22,0.0,4,1.0,1,2,1,1,120
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,-1,5,3,1,7,1,13.6979,1,1,7,0,22,0.0,4,1.0,1,2,1,1,120
22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,5,3,1,7,1,15.8052,1,1,7,0,22,0.0,4,1.0,1,2,1,1,120
23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,5,3,1,7,1,29.4953,1,1,7,0,22,0.0,4,1.0,1,2,1,1,120
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,-1,5,4,1,7,1,167.5354,3,3,7,0,22,0.0,4,1.0,1,2,1,1,120
25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,29,48,0,1,12.9174,1,0,0,13,13,1.0,2,0.0,1,2,1,1,120
26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,23,106,0,1,9.4831,1,0,0,35,35,1.0,2,0.0,1,2,1,1,120
27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,23,106,0,1,15.8052,1,0,0,35,35,1.0,2,0.0,1,2,1,1,120
28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,23,106,0,1,9.4831,1,0,0,35,35,1.0,2,0.0,1,2,1,1,120
29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,23,106,0,1,9.4831,1,0,0,35,35,1.0,2,0.0,1,2,1,1,120
30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,24,106,0,1,10.0295,1,0,0,35,35,1.0,2,0.0,1,2,1,1,120
31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,24,106,0,1,10.0295,1,0,0,35,35,1.0,2,0.0,1,2,1,1,120
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,-1,5,1,106,7,1,126.434,1,1,7,0,1,0.0,3,1.0,1,1,1,1,120
33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,1,118,0,1,40.0321,1,0,0,1,1,1.0,2,0.0,1,2,1,1,120
34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,7,106,0,1,27.3879,1,0,0,2,2,1.0,2,0.0,1,2,1,1,120
35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,5,3,13,0,1,10.1466,1,0,0,4,4,1.0,2,0.0,1,2,1,1,120
36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,5,3,13,0,1,10.1466,1,0,0,4,4,1.0,2,0.0,1,2,1,1,120
37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,5,3,13,0,1,10.1466,1,0,0,4,4,1.0,2,0.0,1,2,1,1,120
38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,5,3,13,0,1,10.1466,1,0,0,4,4,1.0,2,0.0,1,2,1,1,120
39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,5,1,118,0,1,170.6887,1,0,0,1,1,1.0,2,0.0,1,1,1,1,120
40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,5,3,118,0,1,27.3879,1,0,0,4,4,1.0,2,0.0,1,2,1,1,120
41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,40,118,0,2,37.2457,1,0,0,1,1,1.0,2,0.0,1,2,1,1,120
42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,1,48,0,1,31.6027,1,0,0,1,1,1.0,2,0.0,1,2,1,1,120
43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,1,13,0,2,10.248,1,0,0,8,8,1.0,2,0.0,1,2,1,1,120
44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,1,13,0,2,10.248,1,0,0,8,8,1.0,2,0.0,1,2,1,1,120
45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,1,13,0,2,10.248,1,0,0,8,8,1.0,2,0.0,1,2,1,1,120
46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,1,13,0,2,10.248,1,0,0,8,8,1.0,2,0.0,1,2,1,1,120
47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,56,59,0,2,10.529000000000002,1,0,0,1,1,1.0,2,0.0,1,2,1,1,120
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,5,9,118,0,2,6.3767,2,0,0,6,6,1.0,2,0.0,1,2,1,1,120
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,5,9,118,0,2,6.3767,2,0,0,6,6,1.0,2,0.0,1,2,1,1,120
50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,22,13,0,2,13.8384,1,0,0,2,2,1.0,2,0.0,1,2,1,1,120
51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,22,13,0,2,10.6305,1,0,0,2,2,1.0,2,0.0,1,2,1,1,120
52,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,1,106,0,2,14.3691,1,0,0,1,1,1.0,2,0.0,1,2,1,1,120
53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,4,1,0,2,7.446000000000001,1,0,0,1,1,1.0,2,0.0,1,2,1,1,120
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,7,5,1,-1,0,1,10.3495,1,0,0,7,7,1.0,2,0.0,1,2,1,1,120
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,7,5,1,-1,0,1,10.3495,1,0,0,7,7,1.0,2,0.0,1,2,1,1,120
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,7,5,1,-1,0,1,10.3651,1,0,0,7,7,1.0,2,0.0,1,2,1,1,120
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,7,5,1,-1,0,1,10.3495,1,0,0,7,7,1.0,2,0.0,1,2,1,1,120
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,7,5,1,-1,0,1,10.3495,1,0,0,7,7,1.0,2,0.0,1,2,1,1,120
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,7,5,1,-1,0,1,10.3495,1,0,0,7,7,1.0,2,0.0,1,2,1,1,120
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,7,5,1,-1,0,1,10.3495,1,0,0,7,7,1.0,2,0.0,1,2,1,1,120
61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,5,3,118,0,1,10.529000000000002,1,0,0,1,1,1.0,2,0.0,1,2,1,1,120
62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,3,118,0,1,45.3083,1,0,0,1,1,1.0,2,0.0,1,2,1,1,120
63,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,1,59,0,1,12.6364,1,0,0,3,3,1.0,2,0.0,1,2,1,1,120
64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,1,59,0,1,8.4217,1,0,0,3,3,1.0,2,0.0,1,2,1,1,120
65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,1,59,0,1,9.4753,1,0,0,3,3,1.0,2,0.0,1,2,1,1,120
66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,5,27,59,0,1,10.529000000000002,1,1,0,8,8,1.0,2,1.0,1,2,1,1,120
67,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,17,59,0,1,6.0411,1,0,0,1,1,1.0,2,0.0,1,2,1,1,120
